Uid,NickName,username,country,골드 수량,선물 수량,선물을 보낸 유저 수,선물 보낸 유저들 정보
"5769317179523072","달순이","cloud_8030","KR","148819","1047","11","5207517261791232, 5023183529639936, 6403660073205760, 4803046857834496, 6606948793647104, 4820024270061568, 5077438956371968, 6406884962467840, 6662107454832640, 5535383956553728, 6208622802829312"
"5253799544225792","🌸아인🔞🌸","Ainnee2378","KR","212230","234","15","4651410858573824, 5562021669896192, 4569729739849728, 5358837413838848, 6737730924511232, 6659686320635904, 4711986861309952, 5212214167142400, 6602482811469824, 5727033783025664, 5663905126678528, 6181691879456768, 4783716862656512, 6072408197103616, 5351525427511296"
"5275074515763200","모구모구🍑 mogu","moguu__mogu","KR","195031","146","49","4855724378423296, 4543784752840704, 5738377904193536, 5961417805856768, 5818993728618496, 5987387456684032, 5349362123472896, 4752107518099456, 6050398160093184, 5897528555208704, 6552151664951296, 6643368835219456, 6461369137102848, 5363059434258432, 5541105585422336, 4786065384472576, 6651629143654400, 5986367418990592, 6025336953044992, 5334249464987648, 6649521622548480, 6574210849570816, 4753230114193408, 6183292807020544, 4562143927402496, 4659921376313344, 4795382437314560, 5751647632097280, 6739078124208128, 6739985572888576, 5650808158289920, 5403870084595712, 6373707160092672, 5765855682887680, 4701124323770368, 4739891382517760, 6622598117785600, 5003102495244288, 6157235064209408, 4771864252317696, 5753590525329408, 4887780708450304, 6519783998488576, 6100739249995776, 5024743844347904, 6112194236055552, 5891858929942528, 6216897537114112, 4732665424379904"
"6525173473083392","전보연 boyeon","171jun2021","KR","33517","41","3","5816023233658880, 6619516408496128, 6648037496979456"
"6451811680321536","마음이❣️","TIolaq10","KR","31655","33","2","5207517261791232, 4885256548974592"
"4653291558207488","딸랑이","Mallang_i","KR","62823","43","11","5247007425363968, 5926702158774272, 6500625691836416, 4657924653580288, 6724940310904832, 5809964308299776, 5382673772380160, 6447711243010048, 5891858929942528, 6272904874229760, 4910383258992640"
"6262927209070592","유치땅","youchi0_0","KR","24558","25","3","5660613556371456, 6447711243010048, 5895229769842688"
"4696792136482816","냥네코","xexxl_","KR","28916","23","5","5524333524484096, 6523711408373760, 5022199749345280, 5889954697052160, 6057000115699712"
"5533620769980416","솜이","some_s2","KR","21307","17","9","4916518445252608, 5528871798439936, 5684641362870272, 5848646822199296, 6497849682558976, 6082621155966976, 5720958612340736, 6508747815190528, 5568687913172992"
"5977512824602624","보짱잉🐰","bozzang_ing","KR","12170","15","3","5141105039966208, 6015797902049280, 5728677422563328"
"5549459959513088","예솜 Yesom 🍬","ssss1111","KR","15879","49","9","4820024270061568, 4964799286673408, 6548763568373760, 6312001073840128, 5834400172146688, 4874376195145728, 5720958612340736, 4668653027262464, 4986054347915264"
"6158743089512448","브리(🧀)","BRIECHEESE","KR","12274","106","4","5207517261791232, 4700062615470080, 5652773686280192, 6732162918318080"
"6640495536439296","핑거🩷","finger","KR","10155","15","4","4680324655939584, 5173771188895744, 5720958612340736, 5769766788530176"
"5628591339274240","혜쥬","heayu1","KR","9851","11","6","5334249464987648, 5169744499769344, 4680324655939584, 5173771188895744, 4580513651949568, 5720958612340736"
"5506120572272640","냥쮸","meowzzu","KR","15912","38","17","5317889477115904, 6127681703575552, 4808094140989440, 4840036164501504, 4908478242029568, 5980614122602496, 5088584612511744, 4555866436861952, 4981627008385024, 5637236969504768, 5232646414729216, 4695301080612864, 4739861359165440, 5479625438068736, 5750403899981824, 5731518292754432, 5111399718387712"
"6583132883058688","헤니","456818_luv","KR","8005","18","6","5455086880620544, 6740898123415552, 5920494730674176, 4948802135785472, 6457903536275456, 5284232320319488"
"5523876213227520","묘화","myohwa00","KR","18229","58","20","5207517261791232, 5557184598966272, 5080500430503936, 5768385387167744, 5695705214353408, 4759695810428928, 5164947260964864, 5962754661679104, 5996482902491136, 6539550878662656, 4887780708450304, 5007208752218112, 5150885967626240, 5311374084079616, 5319296412418048, 6212112248602624, 6677450149658624, 6010218065231872, 6235949985759232, 4566747271987200"
"6086695883702272","시아 Sia🥑","sia_s2022","KR","23004","16","9","4706840680136704, 5927391328075776, 6019076981587968, 6398631703019520, 5167971222552576, 5048455590379520, 6475056551952384, 5315812731977728, 6007074871640064"
"6403615310807040","Harusaki","Harusaki","KR","8887","18","9","4593203312394240, 5198274823782400, 4582072405524480, 4904169152249856, 5454920221261824, 5722467285729280, 6214818269822976, 6639662846050304, 6197764896653312"
"5300642942615552","망나니❤️","fashiondesigner","KR","5400","3","2","6302866038915072, 5247007425363968"
"5988185869451264","Luna(루나)","lunakim","KR","5511","5","3","6360546880323584, 5212214167142400, 6652364078514176"
"6552805160321024","naeun.yoo","naeunyoo","KR","5233","4","3","5314630671794176, 5553997613957120, 6450664166981632"
"5673040634314752","K-cup꿀하린🍯HARIN","da2018","KR","6177","7","5","4756996346937344, 6273411508404224, 4696338721734656, 6525779178487808, 6537029626953728"
"4729993722920960","지니🩷","maximgini","KR","8156","26","10","5354333169057792, 5820279965155328, 4680324655939584, 4923380630159360, 5477049423495168, 5720958612340736, 5946243383885824, 5969745834999808, 6510249978429440, 4672260776984576"
"4985575213760512","솜솜이💕","roro_706","KR","7749","19","8","6255425884061696, 4775070837833728, 5818993728618496, 5993341448683520, 5238420877148160, 5664055488217088, 5880641836875776, 5072768932511744"
"4815663113502720","하토빗","radets","KR","5530","17","5","4680324655939584, 5702659383492608, 5758145638760448, 5288485946458112, 5664055488217088"
"4613106610274304","♥️덩이♥️","heeyome","KR","4082","6","3","6036695060905984, 5859948348899328, 5720958612340736"
"5998838111076352","코코 - KOKO","babykok0","KR","4747","21","6","6732162918318080, 5250249826107392, 5834400172146688, 6729018411712512, 6387382298148864, 5720958612340736"
"5895622524469248","복숭아 🍑","yeonjoo","KR","5345","17","5","4627230419648512, 4820024270061568, 4552587147083776, 5007208752218112, 5720958612340736"
"5606635648909312","도란이","Doran_","KR","4436","14","6","4724479078760448, 6463607615586304, 4552587147083776, 4617944523669504, 4524757488631808, 5487574275457024"
"5919351234166784","요미🍎","yomime","KR","7817","17","11","5551885347258368, 5743694303789056, 5371443733725184, 5072308268761088, 5150938938343424, 4678214908444672, 5338715334443008, 6217055862587392, 4559974897090560, 5487574275457024, 5720958612340736"
"5131197783277568","히츄💋","s2chuuuu","KR","9117","29","15","6178672010657792, 6732162918318080, 5505378377596928, 5812306214453248, 6048003674406912, 6303762034524160, 5007208752218112, 5720958612340736, 4580513651949568, 6647620184702976, 6057000115699712, 5492764995616768, 5891858929942528, 5783793005625344, 6276378638745600"
"6511899324514304","ㅡ","jjo.oyy","KR","2683","5","2","6305686362587136, 5721936863756288"
"6449159059931136","징쥬","o_____o__j","KR","4178","16","4","4786452756496384, 4570022430703616, 5427770423640064, 6457903536275456"
"5033097999220736","Alice","xin.yanyannn","TW","2256","6","1","6651629143654400"
"5974147107717120","하루짱","ruzzxng","KR","2223","8","2","6646795506417664, 4633194632380416"
"5682428762128384","꾸뿌","ggubbu","KR","2045","8","3","5763450142588928, 5499420397076480, 5720958612340736"
"5517105789206528","유나💦","jkjk6958","KR","4349","5","3","5542292315570176, 5154164905672704, 6645416506490880"
"6643809293238272","수린🎀","zzoohee","KR","3284","45","13","6255425884061696, 5366175881822208, 6730043612856320, 4672260776984576, 5471727384920064, 5720958612340736, 5007208752218112, 5687527370653696, 4920227558129664, 5190591671238656, 6087796103905280, 4789206537273344, 5766247303938048"
"4872831632474112","밍밍","mingming","KR","2190","10","5","4824472390336512, 5738484972978176, 6497339658272768, 5790183841464320, 5679617226571776"
"6459879485145088","김젤리 Jelly","jelly_0_0","KR","3073","16","12","5799321443631104, 4676991321505792, 5514713845792768, 5769766788530176, 5675642468564992, 5896802860400640, 5398334210637824, 5720958612340736, 5749794486157312, 6727477955461120, 5316654686863360, 5587713912537088"
"5707800269553664","나연💗","uni_vley","KR","1337","2","1","5641755188264960"
"5469224595423232","Nanase  Alice","Alice_Nanase_","JP","1348","3","2","4934595656351744, 5667448643977216"
"5473270234152960","서진","duri1004","KR","1437","3","2","6651629143654400, 6298023231553536"
"4782209854406656","방울이","2RRoaa___","KR","1337","2","1","5891858929942528"
"5333828074536960","박레미","Park_Remi","KR","1337","2","1","6266816530612224"
"4577489721294848","콩덩이","kkkong","KR","2174","5","2","4517453310787584, 5279076357832704"
"5750784065863680","Soon","myhom19","KR","1219","11","2","5842632687026176, 5919833428131840"
"6626450989711360","ナツミシャトンヌ🇯🇵","natsumiokinawa","JP","1070","3","1","5034454720249856"
"5407585616068608","Lv.24살 몽구 길들이기 💕","mong999","KR","2799","14","7","5651880938110976, 4964799286673408, 5152413362225152, 4919575703257088, 5746659133489152, 4843617606762496, 5912059803664384"
"5452757864611840","연나비 nnabi","nnabiyeon","KR","1004","1","1","4916518445252608"
"4671843727835136","Mimi💋","eunmicii","KR","1026","3","2","4709492234977280, 5880641836875776"
"5491510835216384","린쌤","lin_nnn","KR","1104","2","2","4796182045720576, 5247007425363968"
"6032746036396032","Lia 리아","cresselia","GB","1215","4","3","4787550035968000, 6729491854458880, 5829065264922624"
"5314440357281792","하윤","asdfzxcv","KR","1426","7","3","5650808158289920, 6249765762301952, 4602211390521344"
"4763773593518080","채솔 Ssolar","chaessol_","KR","1459","5","3","6580692279951360, 6500002998124544, 5007208752218112"
"4518914564096000","세아","Se_A_nyang","KR","1648","6","4","6119368391720960, 4680324655939584, 4888759031824384, 4739105098104832"
"4824163110682624","민서하🍦Seohavivic","seohavivi","KR","1104","2","2","4725107637157888, 5011769765199872"
"5142036787036160","여친 유니🌷","yooni_1120","KR","2134","8","4","5167971222552576, 4709492234977280, 5389617816993792, 6387382298148864"
"5639955095224320","LIKEY official ❤️","likey_official","KR","1059","2","2","5816023233658880, 4966653128933376"
"6102169417023488","유진쌤","rWM76pUuA","KR","1015","2","2","5212214167142400, 6291564376424448"
"5598296940544000",".","dkxiwjsjx","KR","1401","13","6","6506148719886336, 4739861359165440, 5769766788530176, 4599183095758848, 5840379691204608, 4672260776984576"
"5127853653950464","eva","evawxsh","KR","1579","12","10","6413795444260864, 5889954697052160, 5554635759747072, 6535153243193344, 5794135214981120, 4734653725736960, 5783449543966720, 4686690903982080, 4774439379861504, 4890150798950400"
