Uid,NickName,Username,Country,룰렛 Id,룰렛 제목,컬렉션 룰렛,컬렉션 룰렛 천장 기댓값,총 룰렛 하트 수,총 룰렛 도전 횟수,총 유니크 팬 룰렛 도전 횟수,총 컬렉션 룰렛 완성 유저 수,룰렛 가격(평균 룰렛 도전 하트 수),평균 룰렛 도전 횟수,평균 유니크 팬 룰렛 도전 하트 수,평균 컬렉션 룰렛 완성을 위한 플레이 횟수
"5994882929590272","마루에몽","maruemon","KR","4909736974811136","나쁜 손만 허락할게♥","false","0","74300","1486","85","0","50","17.48","874.12","0"
"6311888081190912","🌸Sakuraღ유아💕","sakura_YuA","KR","4887002169409536","🔞ㅂ'ㅈ🦪ㅇㄴ🌸ㄲㅈ🍒(Pus'sy💦)","true","260","64779","1661","111","5","39","14.96","583.59","53.6"
"5275074515763200","모구모구🍑 mogu","moguu__mogu","KR","6355958629597184","모구랑 신년회 하자❤️","false","0","35475","645","45","0","55","14.33","788.33","0"
"6311888081190912","🌸Sakuraღ유아💕","sakura_YuA","KR","5894791985561600","🌸데이트💗실제 Se:x🔥노'모🔞","false","0","31410","698","24","0","45","29.08","1308.75","0"
"5416894833164288","김그냥","kinnjust","KR","4755223500488704","1,2월 룰렛 ♥","true","480","24080","301","55","0","80","5.47","437.82","0"
"6311888081190912","🌸Sakuraღ유아💕","sakura_YuA","KR","5690012642508800","🔞ㅂ'ㅈ🦪ㅇㄴ🌸ㄲㅈ🍒(Pus'sy💦)","true","150","21372","548","38","6","39","14.42","562.42","35"
"6114848568836096","Grace☺葛瑞絲","gemini_0615","TW","5258060219219968","首次露出🍒錯過就可惜囉😈","true","360","19665","437","27","1","45","16.19","728.33","151"
"5230805596897280","Taeha태하냥","tae_ha_xx","KR","4836158547886080","꽝 없는 레더&화이트 2배🆙 룰렛","true","440","18513","561","79","1","33","7.1","234.34","18"
"4618902449618944","서하 SEOHA🪄🪽🐰","seo_H_a","KR","6623813983993856","오늘의 ㄸ감🐰🪄","true","1020","15939","161","49","0","99","3.29","325.29","0"
"4872831632474112","밍밍","mingming","KR","6341134268956672","식데🔞소원권 한정판 룰렛","false","0","14000","140","19","0","100","7.37","736.84","0"
"6311888081190912","🌸Sakuraღ유아💕","sakura_YuA","KR","5046043722055680","⭐만남⭐노:모⭐️애장품⭐구독권","false","0","12540","228","30","0","55","7.6","418","0"
"6209815567335424","셩셩","susan__k__03","KR","5545254481756160","룰렛은 셩셩 😻🩷","true","210","11935","217","44","2","55","4.93","271.25","13"
"6730549089075200","반서지","banseozi","KR","5506600862416896","살스 검스 레깅스 왕자구독권👑","true","2000","11550","1155","40","1","10","28.88","288.75","71"
"4618902449618944","서하 SEOHA🪄🪽🐰","seo_H_a","KR","5585254162300928","새해이벤트🎉","true","1130","11550","175","43","0","66","4.07","268.6","0"
"6291184182165504","bell","beebell.ll","TH","5391248274948096","น้ำแตกกับรูเล็ตฉัน💋💦","false","0","11115","285","67","0","39","4.25","165.9","0"
"5271489036222464","유히키♡","peropero_","KR","6024244548009984","복귀기념 2000원 콜랙션!","true","1010","11000","550","55","0","20","10","200","0"
"6043741930979328","콩이콩이 konge💉🏥","wooopl","KR","4910954518347776","꽝없는 구독권룰렛❤️","true","2020","10700","107","21","0","100","5.1","509.52","0"
"4713579245928448","예봉 yebong","kamoyebbi","KR","5778473902866432","봉이 룰렛🍨","false","0","10200","204","12","0","50","17","850","0"
"4824163110682624","민서하🍦Seohavivic","seohavivi","KR","6355245530808320","🍆비비빅 🍆구독권룰렛","false","0","10197","103","20","0","99","5.15","509.85","0"
"4829175631446016","Jisam 👄","jisamss","KR","5161771741675520","See through🔞1분넘는 영상까지 ","true","50","9850","197","41","1","50","4.8","240.24","21"
"6187465808478208","可凡kofan🎀🐾","kofan_0331","TW","5317686826565632","歡迎來找我玩","true","90","9840","492","31","10","20","15.87","317.42","37.8"
"5253799544225792","🌸아인🔞🌸","Ainnee2378","KR","4658497481539584","색.  대","true","20","9676","164","39","6","59","4.21","248.1","11.33"
"5462247474397184","승무원 줄리 FA Julie 🔞🛑","FA_julie","KR","4756731034009600","[라이키최고수위 보장]실제ㅅ.ㅅ","false","0","9400","188","27","0","50","6.96","348.15","0"
"6554877098655744","레이💋","reiiii","KR","6654413344276480","멤버십 먹기🔥","true","36670","9270","103","24","0","90","4.29","386.25","0"
"6141288045019136","셩이 ♡","syo3o_","KR","5733270613590016","맥심X라이키 미공개🔞","true","240","8940","149","16","1","60","9.31","558.75","48"
"5673040634314752","K-cup꿀하린🍯HARIN","da2018","KR","4994090572906496","섹 /스 파티룰렛","true","220","8600","172","15","0","50","11.47","573.33","0"
"5902059322933248","1998_11_04","1998_11_04","KR","5563260091957248","🥵크리스마스 컬렉션🥵","true","550","8505","243","31","0","35","7.84","274.35","0"
"6315181959479296","🍑해원🍑","hawopalng","KR","6107748476583936","홈웨어🔞","true","110","6975","279","32","3","25","8.72","217.97","37"
"4879422705238016","가영이🐮","yoonkang","KR","6403456605814784","🔞[2월룰렛] 영상 메일제공 꽝없음🔞","true","600","6762","98","19","0","69","5.16","355.89","0"
"5127853653950464","eva","evawxsh","KR","6477684281638912","eva ⚔️-mas","true","60","6760","169","35","2","40","4.83","193.14","28"
"6231601240145920","지니","an_xna_","KR","5207653925191680","바니걸 🐰🤍","true","130","5895","131","10","0","45","13.1","589.5","0"
"4964788154007552","쑤 Soo💋","swai_sy","KR","6045515428069376","구독권&식데 한정판 룰렛💋","true","20000","5700","57","11","0","100","5.18","518.18","0"
"5328002939224064","GGotbbang🌹🍞","GGotbbang","KR","6679564081364992","🌟새해 컬렉션 룰렛 💋신작 업뎃!! All New","true","300","5607","63","11","0","89","5.73","509.73","0"
"5517105789206528","유나💦","jkjk6958","KR","5455820054790144","유나랑데이트❤️","false","0","5445","55","4","0","99","13.75","1361.25","0"
"6141288045019136","셩이 ♡","syo3o_","KR","4737392725655552","산타걸 셩이와🔞영통","false","0","5340","89","20","0","60","4.45","267","0"
"5988185869451264","Luna(루나)","lunakim","KR","4760305734451200","루나의 식데룰렛❤️‍🔥🔞","false","420","5236","68","12","0","77","5.67","436.33","0"
"5076708211490816","하리니🤍","Harini02","KR","6078726745030656","구독권룰렜","true","2010","5200","104","13","0","50","8","400","0"
"6451811680321536","마음이❣️","TIolaq10","KR","5359366955008000","❣️마음이룰렛❣️","true","1360","5181","157","15","0","33","10.47","345.4","0"
"4707867975090176","일탈 H-cup🍼유부녀","hbbxx_0727","KR","6357382310592512","🔞꽝없는 고퀄 섹줌마 Videos & Pics🔞","true","50","5100","102","29","3","50","3.52","175.86","14.67"
"6109648231727104","은지💕","lovely_______ej","KR","4522436273045504","꼴포 모아모아💕","true","220","4995","111","29","0","45","3.83","172.24","0"
"4830429519740928","심유이 YUI","simyui82053","KR","6171274230562816","1월 룰렛🤍","true","360","4983","151","10","1","33","15.1","498.3","87"
"5077262085455872","백설양 Snow","uoujjj","KR","5651747960979456","SEXY한 룰렛♡","false","0","4930","493","18","0","10","27.39","273.89","0"
"6383511881449472","정구 Jung gu","junggu12","KR","5955641710673920","연말 특별 컬렉션 룰렛🔞","true","450","4880","122","28","0","40","4.36","174.29","0"
"5539614912872448","양이","pilaxxs","KR","5002551004168192","양이 훔쳐보기","true","180","4700","47","13","0","100","3.62","361.54","0"
"5222960753475584","TOJI","kFAmCXycu4","KR","6045242106249216","PC방 눈나 ?  ´͈ ᵕ `͈ ♡°◌̊","true","200","4520","226","17","3","20","13.29","265.88","47"
"5605074481774592","김버섯","Kimbusexy","KR","5281846901538816","🧧2026새해맞이🧧","false","40","4500","45","6","0","100","7.5","750","0"
"6642980720148480","☁️하늘이☁️sky☁️","hny1208_","KR","4752928691912704","☁️꽝없는 데이트 뽑기☁️","true","770","4485","65","6","0","69","10.83","747.5","0"
"4618902449618944","서하 SEOHA🪄🪽🐰","seo_H_a","KR","4637312333053952","구독권 룰렛🪄","true","3000","4059","41","16","0","99","2.56","253.69","0"
"6212246498770944","Yuna🫧","yuna_7777","TW","5678401127120896","Collect Lv.1–5 to get 🔞video!","true","50","4050","81","20","1","50","4.05","202.5","19"
"4785530719109120","🩷薇幸🩵","love871112","TW","6497739627233280","🖤 深夜模式","true","120","4020","268","9","3","15","29.78","446.67","62"
"6634035169525760","정명희","alex.jung","KR","4534615189684224","Only 코코볼..❤️","true","80","3960","120","26","0","33","4.62","152.31","0"
"5171655215349760","예삐🐣","wAZLpjwBx7","KR","4658654046519296","예삐🐣 19 룰렛🎈🎉","true","2400","3880","97","19","0","40","5.11","204.21","0"
"6525173473083392","전보연 boyeon","171jun2021","KR","6463391897157632","싸고 싶으면 드루와 💦","true","200","3680","92","23","0","40","4","160","0"
"4696792136482816","냥네코","xexxl_","KR","5892532129169408","냥네코의 비밀룰렛🩷","false","0","3663","37","20","0","99","1.85","183.15","0"
"6109650699354112","G바겐","gclass0714","KR","5851875363717120","1/12-31🔞식데💕침대💋연락처🥵 ","false","0","3630","110","15","0","33","7.33","242","0"
"4713579245928448","예봉 yebong","kamoyebbi","KR","5428217172393984","봉이 룰렛🍨","false","0","3600","60","8","0","60","7.5","450","0"
"5892209944887296","Now__on 현재","now__ness","KR","5717637406588928","𝑪𝒉𝒓𝒊𝒔𝒕𝒎𝒂𝒔 컬렉션룰렛    🎄🎅❄️","true","40","3330","74","14","4","45","5.29","237.86","13.5"
"4631765237039104","🩷슬라임🔞","slime180","KR","5645567922470912","미공개 영상 뽑기💦🩷","false","0","3250","65","7","0","50","9.29","464.29","0"
"6253070491975680","🌸샤샤🌸","oowwoo2","KR","5810670491860992","🥵구독권&고수위 사진영상🥵","true","250","3200","32","5","0","100","6.4","640","0"
"6723653031100416","민하 minha","minhaa_","KR","6139582426054656","1월 민하 룰렛🥵","true","2010","3200","32","10","0","100","3.2","320","0"
"4707617388953600","민시아","minsiaam","KR","5393564029878272","민시아 컬렉션🫧","true","90","3180","106","3","2","30","35.33","1060","46"
"6642980720148480","☁️하늘이☁️sky☁️","hny1208_","KR","6545078005989376","🛌🔞💦데이트 뽑기🛌🔞💦","true","1010","3100","62","20","0","50","3.1","155","0"
"5671899241447424","대만Karina啾啾🎀쮸쮸","chu5299","TW","5376171282989056","開箱聖誕啾啾🎁","true","360","3090","309","26","2","10","11.88","118.85","102"
"6323028827701248","세무딘","sejinming","KR","6299077353603072","다시 돌아온 기무세딘","true","1210","3080","40","12","0","77","3.33","256.67","0"
"5997123074326528","리츠코","ritsuko","KR","5784666239074304","발정났어요••♥️","true","80","2970","66","9","2","45","7.33","330","11.5"
"5575851188092928","🎀선코밍🎀","Serena","KR","4703398491521024","코미는 샤워중..🫧🔞","true","270","2940","84","20","0","35","4.2","147","0"
"6552805160321024","naeun.yoo","naeunyoo","KR","6561261589561344","슬렌더 나은 누드 해제🔞","true","110","2925","75","15","0","39","5","195","0"
"5675134720606208","🌼🌻🌼","zzopy113","KR","5292799907004416","훔쳐보기🌼","true","330","2880","32","4","0","90","8","720","0"
"6426510271643648","단비","_Vo__Vo_","KR","5295822557347840","All 교복 영상👅","true","20","2880","72","11","7","40","6.55","261.82","9.29"
"6613555748208640","루아🫦","ming7891","KR","6475649842872320","꽝없는 식데 뽑기❤️","false","0","2849","37","5","0","77","7.4","569.8","0"
"5581837845266432","쏘블리💖🎀 @leeesovely","leeesovely","KR","6290790155485184","🖤Black 마이크로 비키니 🥵 ","true","200","2840","71","10","0","40","7.1","284","0"
"4865581846298624","soi","soisoisoi","KR","5727350772924416","무료팔로워용 룰렛","true","12","2800","56","26","5","50","2.15","107.69","6"
"4743633474289664","수미깡❤","sumi.kang_1204","KR","6624838736347136","지상최대 최고수위🔞🥵","false","0","2760","40","14","0","69","2.86","197.14","0"
"6736647941193728","miyu 💜","love_miyu","KR","5790693990793216","2월 식데 룰렛","true","210","2700","54","13","1","50","4.15","207.69","13"
"4985575213760512","솜솜이💕","roro_706","KR","5553649112776704","솜솜이 온몸이용권🥵","false","0","2565","57","11","0","45","5.18","233.18","0"
"5665983207505920","라희","serenity0504","KR","4933052099919872","라희의 극악의 매운 맛 룰렛 🔞","true","1110","2520","72","8","0","35","9","315","0"
"5399219199606784","🍑큐리 curi🍑","Korean_peach","KR","5818944259817472","크리스마스♥️섹시 룰렛♥️","true","530","2520","84","10","0","30","8.4","252","0"
"5266307512729600","김유리","Yuri_02","KR","5820611109781504","영상,미디어,음통룰렛💕","true","330","2500","50","11","0","50","4.55","227.27","0"
"4958663606861824","🔞토끼 Thỏ🔞🐰","Thoiucarot","VN","5588092980494336","Càng xoay càng cởi nhiều 🔞","true","530","2457","63","15","0","39","4.2","163.8","0"
"5568355824631808","꽃비","pilatesflower","KR","6563172548018176","🐰음탕한 꽃비🐰","false","0","2420","44","15","0","55","2.93","161.33","0"
"6643809293238272","수린🎀","zzoohee","KR","4759081941401600","생일축하🍓","true","50","2400","48","11","1","50","4.36","218.18","12"
"6093701669650432","새옴","om0322","KR","6675954215878656","코스프레","true","70","2360","118","23","1","20","5.13","102.61","36"
"5171065413369856","미스김 누나🖤","women2025","KR","5193072121151488","양기충전소","true","1510","2250","45","12","0","50","3.75","187.5","0"
"4522608833462272","진희냥","necomimi","KR","6391665050583040","🔥진희냥의19금룰렛🔥","false","0","2242","38","12","0","59","3.17","186.83","0"
"6394108861874176","서윤","Seoyun_company","KR","5288923497693184","서윤이와 함께 먹는🥕","true","10000","2240","28","4","0","80","7","560","0"
"6086695883702272","시아 Sia🥑","sia_s2022","KR","6677713642520576","ㅈ꺼낼수밖에 없는 데이트룰렛ㅋ","false","0","2220","30","6","0","74","5","370","0"
"6262927209070592","유치땅","youchi0_0","KR","6276393945202688","✨유치의 새해 룰렛!!✨","true","740","2200","44","9","0","50","4.89","244.44","0"
"6267582342758400","dasom_lovely","dasom_lovely","KR","5712461799030784","다솜 1월 sexy 룰렛💋","true","80","2150","43","10","1","50","4.3","215","31"
"5153487409971200","芯寶ㄦ","xinyu0427s","TW","4778121917300736","今天讓我伺候你❤️","true","60","2100","105","22","2","20","4.77","95.45","26.5"
